,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）
2021-09,0.82,1.01,89.46,109.57,68.64
2021-10,0.78,1.04,60.29,80.37,72.43
2021-11,0.62,0.82,54.78,72.0,81.96
2021-12,0.51,0.7,41.51,56.64,87.9
2022-01,0.48,0.67,36.68,51.38,89.88
2022-03,0.62,0.82,45.39,60.01,81.08
2022-04,0.66,0.87,50.25,66.02,78.12
2022-05,0.72,0.93,62.51,80.68,74.95
2022-06,0.78,0.99,64.01,81.69,70.99
2022-07,0.82,1.06,66.25,85.73,68.72
