,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）
2021-09,0.69,0.84,75.4,90.77,77.22
2021-10,0.68,0.9,52.37,69.49,79.13
2021-11,0.56,0.72,49.56,63.75,87.05
2021-12,0.48,0.65,38.8,52.32,90.64
2022-01,0.46,0.64,35.18,49.13,91.36
2022-03,0.56,0.74,41.22,53.96,84.93
2022-04,0.59,0.76,44.7,57.78,82.74
2022-05,0.6,0.76,52.16,66.16,82.32
2022-06,0.65,0.82,53.62,67.48,78.81
2022-07,0.68,0.88,54.94,71.2,76.99
