,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）,R
2021-09,0.64,0.82,69.77,88.89,80.23,0.4
2021-10,0.7,0.99,54.47,76.72,79.07,0.61
2021-11,0.59,0.8,51.84,70.36,85.76,0.68
2021-12,0.53,0.75,43.32,61.13,87.93,0.71
2022-01,0.53,0.75,40.96,57.49,87.61,0.67
2022-03,0.63,0.85,46.26,62.45,80.71,0.58
2022-04,0.66,0.89,50.2,67.69,78.76,0.56
2022-05,0.61,0.82,53.02,71.03,82.12,0.48
2022-06,0.64,0.84,52.98,69.21,79.65,0.5
2022-07,0.7,0.94,56.68,75.86,75.92,0.44
