,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）,R
2021-09,1.3,1.77,140.56,192.12,52.34,0.48
2021-10,1.81,2.5,140.47,194.23,42.99,0.59
2021-11,1.69,2.31,149.58,203.53,43.02,0.55
2021-12,1.61,2.23,130.48,180.66,46.11,0.56
2022-01,1.75,2.35,134.49,180.44,41.92,0.48
2022-03,2.04,2.76,149.41,201.98,37.62,0.5
2022-04,1.99,2.66,150.36,201.6,38.26,0.51
2022-05,1.53,2.08,132.62,180.56,46.81,0.46
2022-06,1.56,2.12,128.03,173.87,46.81,0.48
2022-07,1.62,2.22,130.51,178.8,45.42,0.52
