,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）,R
2021-09,0.89,1.06,96.8,115.26,63.88,0.43
2021-10,0.8,1.05,61.88,81.23,70.68,0.58
2021-11,0.6,0.77,52.88,68.38,83.6,0.74
2021-12,0.49,0.67,39.59,54.16,89.68,0.79
2022-01,0.46,0.64,35.24,49.34,91.11,0.77
2022-03,0.6,0.79,44.12,58.1,82.12,0.66
2022-04,0.65,0.85,49.21,64.53,78.89,0.63
2022-05,0.73,0.94,63.55,81.58,74.21,0.51
2022-06,0.78,0.98,63.74,80.41,71.29,0.47
2022-07,0.84,1.08,67.92,86.73,67.55,0.38
