,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）,R
2021-09,0.75,0.93,80.95,100.61,72.18,0.3
2021-10,0.78,1.06,60.47,82.33,72.99,0.53
2021-11,0.63,0.82,55.35,72.62,82.93,0.67
2021-12,0.56,0.77,45.25,62.46,86.74,0.71
2022-01,0.53,0.74,40.97,56.86,87.71,0.68
2022-03,0.65,0.87,47.71,63.59,79.53,0.56
2022-04,0.68,0.9,51.73,68.44,77.3,0.52
2022-05,0.69,0.91,59.47,78.53,76.9,0.39
2022-06,0.74,0.99,61.11,81.56,72.92,0.23
2022-07,0.79,1.05,63.6,85.07,69.89,0.23
