,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）,R
2021-09,0.95,1.19,103.48,128.89,61.28,0.27
2021-10,0.9,1.2,69.64,93.3,66.03,0.42
2021-11,0.61,0.81,54.2,71.45,82.87,0.69
2021-12,0.53,0.72,43.04,58.47,87.2,0.75
2022-01,0.5,0.69,38.46,53.16,88.94,0.73
2022-03,0.63,0.85,46.02,62.17,81.01,0.59
2022-04,0.66,0.89,50.25,67.44,78.71,0.57
2022-05,0.78,1.02,67.48,88.78,71.37,0.38
2022-06,0.95,1.24,78.3,102.02,61.7,0.25
2022-07,1.0,1.31,80.69,106.06,59.77,0.17
