,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）
2021-09,0.67,0.83,72.21,90.37,79.56
2021-10,0.66,0.88,50.94,68.29,80.2
2021-11,0.54,0.71,47.3,62.59,88.34
2021-12,0.47,0.63,37.67,51.25,91.13
2022-01,0.45,0.63,34.75,48.65,91.49
2022-03,0.54,0.71,39.16,52.15,86.63
2022-04,0.57,0.75,42.85,56.71,84.81
2022-05,0.59,0.77,51.08,66.96,83.2
2022-06,0.64,0.83,52.86,68.15,79.51
2022-07,0.69,0.9,55.36,72.95,76.84
