,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）
2021-09,0.68,0.86,74.21,93.56,78.0
2021-10,0.69,0.93,53.72,72.22,77.68
2021-11,0.57,0.76,50.26,66.84,85.71
2021-12,0.49,0.68,39.84,54.82,89.22
2022-01,0.47,0.66,36.31,51.01,90.23
2022-03,0.56,0.75,41.28,55.08,84.63
2022-04,0.6,0.79,45.1,59.82,82.65
2022-05,0.62,0.81,53.96,70.16,80.97
2022-06,0.68,0.87,55.71,71.5,77.33
2022-07,0.71,0.93,57.23,75.13,75.61
