,MAE（m/s）, RMSE（m/s）,rMAE（%）,rRMSE（%）,FA（%）
2021-09,0.56,0.69,61.09,75.15,87.95
2021-10,0.59,0.79,45.65,61.19,85.89
2021-11,0.52,0.69,46.09,60.68,89.98
2021-12,0.46,0.62,37.36,50.39,91.79
2022-01,0.46,0.64,35.06,49.0,91.57
2022-03,0.52,0.69,38.23,50.73,87.86
2022-04,0.54,0.71,40.55,53.35,87.12
2022-05,0.52,0.67,44.94,58.32,88.99
2022-06,0.55,0.7,45.21,57.68,87.23
2022-07,0.57,0.75,46.01,60.46,86.0
